symptom1,symptom2,symptom3,symptom4,symptom5,disease_name,chronic_or_temporary,contagious
redness,cracking,pain,crusting,scarring,Rosacea,true,false
redness,scaling,burning,crusting,thickening,Dermatitis,false,false
itching,scaling,soreness,bleeding,scarring,Rosacea,true,false
redness,dryness,tenderness,ulceration,thickening,Eczema,false,true
rash,flaking,soreness,crusting,thickening,Dermatitis,true,false
swelling,scaling,burning,crusting,discoloration,Eczema,false,false
itching,scaling,burning,bleeding,thickening,Psoriasis,false,true
swelling,scaling,pain,ulceration,discoloration,Eczema,true,true
redness,flaking,burning,crusting,thickening,Psoriasis,false,true
blistering,cracking,pain,ulceration,lesions,Eczema,true,false
rash,scaling,pain,oozing,thickening,Dermatitis,false,true
itching,scaling,soreness,crusting,lesions,Dermatitis,true,false
itching,scaling,soreness,oozing,lesions,Acne,true,false
redness,dryness,soreness,ulceration,scarring,Eczema,true,false
itching,flaking,tenderness,ulceration,lesions,Acne,true,false
swelling,scaling,tenderness,bleeding,scarring,Rosacea,true,false
blistering,flaking,burning,bleeding,scarring,Acne,false,true
itching,scaling,pain,oozing,discoloration,Rosacea,true,false
redness,flaking,burning,oozing,discoloration,Rosacea,false,true
itching,cracking,soreness,oozing,lesions,Dermatitis,false,true
swelling,dryness,burning,ulceration,lesions,Psoriasis,true,false
swelling,cracking,pain,crusting,thickening,Rosacea,false,false
rash,flaking,tenderness,oozing,thickening,Psoriasis,false,true
rash,cracking,burning,bleeding,lesions,Rosacea,true,false
itching,cracking,pain,crusting,lesions,Acne,true,true
