fx1,fx2,fx3,fx4,fx5,y
371,199,134,314,387,"""بحبك"""
453,208,190,304,485,"""بحبك"""
379,289,201,286,486,"""بحبك"""
431,134,132,251,473,"""بحبك"""
406,144,148,252,468,"""بحبك"""
458,239,190,408,465,"""بحبك"""
428,194,149,263,485,"""بحبك"""
291,192,144,64,353,"""نسر"""
255,215,207,57,240,"""نسر"""
266,199,193,16,229,"""نسر"""
288,238,204,24,333,"""نسر"""
337,222,193,29,263,"""نسر"""
298,219,229,53,283,"""نسر"""
297,157,181,26,242,"""نسر"""
403,451,438,42,426,"""انا بخير """
435,390,426,29,302,"""انا بخير """
384,436,439,74,432,"""انا بخير """
411,407,428,61,231,"""انا بخير """
416,403,400,16,360,"""انا بخير """
412,400,390,79,383,"""انا بخير """
426,442,415,16,240,"""انا بخير """
267,176,190,43,351,"""يؤلم قليلا"""
271,176,166,64,320,"""يؤلم قليلا"""
278,207,186,80,453,"""يؤلم قليلا"""
295,174,145,16,270,"""يؤلم قليلا"""
357,169,153,48,338,"""يؤلم قليلا"""
245,146,162,136,345,"""يؤلم قليلا"""
235,133,146,11,359,"""يؤلم قليلا"""
270,137,162,15,347,"""مؤلم"""
242,189,150,19,240,"""مؤلم"""
272,187,201,24,304,"""مؤلم"""
295,175,156,15,269,"""مؤلم"""
313,176,198,16,346,"""مؤلم"""
251,160,157,62,320,"""مؤلم"""
240,176,180,16,309,"""مؤلم"""
304,220,208,169,329,"""انا"""
242,179,205,85,306,"""انا"""
331,212,208,142,317,"""انا"""
316,259,229,221,379,"""انا"""
322,233,240,242,359,"""انا"""
284,204,176,315,321,"""انا"""
213,118,115,123,311,"""انا"""
400,99,425,269,493,"""حقا احبك """
464,192,373,314,484,"""حقا احبك """
332,162,445,187,412,"""حقا احبك """
397,134,379,348,493,"""حقا احبك """
413,156,302,155,462,"""حقا احبك """
455,240,398,343,460,"""حقا احبك """
422,126,384,381,483,"""حقا احبك """
392,209,237,195,389,"""هذا رهيب """
459,254,167,234,325,"""هذا رهيب """
307,170,180,142,238,"""هذا رهيب """
427,194,135,286,240,"""هذا رهيب """
352,160,159,215,318,"""هذا رهيب """
429,254,148,309,343,"""هذا رهيب """
411,175,171,138,271,"""هذا رهيب """
397,434,454,236,500,"""اتمني لك حياة سعيده"""
459,496,460,275,479,"""اتمني لك حياة سعيده"""
389,389,337,194,484,"""اتمني لك حياة سعيده"""
419,451,432,255,482,"""اتمني لك حياة سعيده"""
380,433,435,233,509,"""اتمني لك حياة سعيده"""
355,336,325,187,400,"""اتمني لك حياة سعيده"""
446,425,422,248,451,"""اتمني لك حياة سعيده"""
385,259,460,263,496,"""الديك"""
353,214,448,269,470,"""الديك"""
337,302,461,270,464,"""الديك"""
340,238,449,198,476,"""الديك"""
407,205,448,306,493,"""الديك"""
368,188,378,290,486,"""الديك"""
301,164,410,240,503,"""الديك"""
292,221,218,64,459,"""دقن"""
270,176,219,48,349,"""دقن"""
301,199,384,110,470,"""دقن"""
364,203,396,214,501,"""دقن"""
329,203,449,236,475,"""دقن"""
354,238,326,152,468,"""دقن"""
329,204,279,21,438,"""دقن"""
368,439,434,233,361,"""اريد"""
427,400,370,79,465,"""اريد"""
402,339,291,26,474,"""اريد"""
402,426,425,226,284,"""اريد"""
383,440,448,235,385,"""اريد"""
418,407,407,279,475,"""اريد"""
419,411,423,190,185,"""اريد"""
